date,2t,2d,tp,10u,10v,u,v,100u,100v
20240404,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240405,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240406,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240407,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240408,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240409,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240410,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240411,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240412,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240413,Yes,Yes,Yes,Yes,Yes,No,No,No,No
20240414,No,No,No,No,No,No,No,No,No
20240415,No,No,No,No,No,No,No,No,No
20240416,No,No,No,No,No,No,No,No,No
20240417,No,No,No,No,No,No,No,No,No
20240418,No,No,No,No,No,No,No,No,No
20240419,No,No,No,No,No,No,No,No,No
20240420,No,No,No,No,No,No,No,No,No
20240421,No,No,No,No,No,No,No,No,No
20240422,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240423,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240424,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240425,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240426,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240427,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240428,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240429,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240430,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240501,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240502,No,No,No,No,No,No,No,No,No
20240503,No,No,No,No,No,No,No,No,No
20240504,No,No,No,No,No,No,No,No,No
20240505,No,No,No,No,No,No,No,No,No
20240506,No,No,No,No,No,No,No,No,No
20240507,No,No,No,No,No,No,No,No,No
20240508,No,No,No,No,No,No,No,No,No
20240509,No,No,No,No,No,No,No,No,No
20240510,No,No,No,No,No,No,No,No,No
20240511,No,No,No,No,No,No,No,No,No
20240512,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240513,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240514,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240515,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240516,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240517,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240518,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240519,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240520,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240521,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240522,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240523,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240524,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240525,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240526,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240527,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240528,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240529,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240530,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240531,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240601,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240602,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240603,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240604,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240605,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240606,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240607,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240608,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240609,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240610,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240611,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240612,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240613,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240614,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240615,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240616,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20240617,No,No,No,No,No,No,No,No,No
20240618,No,No,No,No,No,No,No,No,No
20240619,No,No,No,No,No,No,No,No,No
20240620,No,No,No,No,No,No,No,No,No
20240621,No,No,No,No,No,No,No,No,No
20240622,No,No,No,No,No,No,No,No,No
20240623,No,No,No,No,No,No,No,No,No
20240624,No,No,No,No,No,No,No,No,No
20240625,No,No,No,No,No,No,No,No,No
20240626,No,No,No,No,No,No,No,No,No
20240627,No,No,No,No,No,No,No,No,No
20240628,No,No,No,No,No,No,No,No,No
20240629,No,No,No,No,No,No,No,No,No
20240630,No,No,No,No,No,No,No,No,No
20240701,No,No,No,No,No,No,No,No,No
20240702,No,No,No,No,No,No,No,No,No
20240703,No,No,No,No,No,No,No,No,No
20240704,No,No,No,No,No,No,No,No,No
20240705,No,No,No,No,No,No,No,No,No
20240706,No,No,No,No,No,No,No,No,No
20240707,No,No,No,No,No,No,No,No,No
20240708,No,No,No,No,No,No,No,No,No
20240709,No,No,No,No,No,No,No,No,No
20240710,No,No,No,No,No,No,No,No,No
20240711,No,No,No,No,No,No,No,No,No
20240712,No,No,No,No,No,No,No,No,No
20240713,No,No,No,No,No,No,No,No,No
20240714,No,No,No,No,No,No,No,No,No
20240715,No,No,No,No,No,No,No,No,No
20240716,No,No,No,No,No,No,No,No,No
20240717,No,No,No,No,No,No,No,No,No
20240718,No,No,No,No,No,No,No,No,No
20240719,No,No,No,No,No,No,No,No,No
20240720,No,No,No,No,No,No,No,No,No
20240721,No,No,No,No,No,No,No,No,No
20240722,No,No,No,No,No,No,No,No,No
20240723,No,No,No,No,No,No,No,No,No
20240724,No,No,No,No,No,No,No,No,No
20240725,No,No,No,No,No,No,No,No,No
20240726,No,No,No,No,No,No,No,No,No
20240727,No,No,No,No,No,No,No,No,No
20240728,No,No,No,No,No,No,No,No,No
